,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,total_words,unique_words,duration_min,key_0,key_1,key_2,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,mode_minor,mode_major,time_signature_3,time_signature_4,time_signature_5,class
71,0.436,0.953,-3.011,0.0818,0.00278,0.000164,0.366,0.346,154.945,385,98,4.59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
72,0.481,0.696,-4.194,0.0354,0.0611,1.39e-06,0.221,0.468,127.994,404,173,4.85,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
73,0.485,0.941,-3.55,0.0512,0.000847,5.36e-06,0.554,0.794,156.943,285,117,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
74,0.597,0.883,-4.459,0.0602,0.00885,3.98e-06,0.286,0.705,131.088,441,132,3.73,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
75,0.384,0.844,-6.946,0.0873,0.0187,6.3e-05,0.16,0.413,127.057,296,124,4.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
76,0.492,0.852,-4.954,0.0878,0.0371,0.0,0.434,0.867,198.142,437,193,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
77,0.598,0.811,-3.816,0.0346,0.00402,2.2e-06,0.303,0.485,119.984,283,126,2.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
78,0.561,0.944,-3.437,0.0613,0.0357,3.41e-06,0.337,0.84,149.959,426,102,3.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
79,0.562,0.964,-2.991,0.072,0.000539,1.57e-06,0.579,0.41,138.063,470,147,4.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,post-hiatus
80,0.558,0.924,-4.341,0.064,0.0271,3.32e-06,0.537,0.567,151.99,344,122,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,post-hiatus
81,0.552,0.915,-3.713,0.0559,0.0013,3.74e-05,0.206,0.606,90.013,443,120,3.39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,post-hiatus
82,0.631,0.891,-4.202,0.0998,0.00368,0.00124,0.157,0.677,119.96,473,164,4.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,post-hiatus
83,0.508,0.907,-3.443,0.0565,0.0423,6.83e-05,0.221,0.587,104.997,411,127,4.08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,post-hiatus
84,0.511,0.95,-3.833,0.184,0.0612,0.0,0.203,0.539,151.943,381,198,3.54,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,post-hiatus
85,0.556,0.851,-2.981,0.0443,4.46e-05,1.97e-05,0.211,0.271,114.948,259,126,3.52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,post-hiatus
86,0.571,0.926,-3.576,0.0479,0.000217,0.00376,0.0522,0.576,133.903,271,115,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,post-hiatus
87,0.599,0.853,-3.878,0.0365,0.00123,0.000504,0.37,0.676,94.997,149,70,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,post-hiatus
88,0.474,0.853,-3.775,0.12,0.000172,0.00121,0.109,0.559,170.076,575,229,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,post-hiatus
89,0.557,0.777,-6.286,0.0636,0.0756,4.29e-05,0.1,0.449,144.968,501,132,4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,post-hiatus
